Title,Source,SourceLevel,Deadline,Status,Score,MatchedKeywords,Url,Summary,FirstSeen,LastSeen
"AID4SME Open Call #2","F6S / AID4SME Horizon Europe project","EU cascade funding","2026-07-15","open",18,"ai, cascade funding, data, f6s, grant, green deal, horizon europe, serbia potential, sme, startup","https://www.f6s.com/aid4sme-oc-2/about","Horizon Europe cascade funding call for SMEs and startups developing AI and data-driven solutions for industrial resource optimisation and Green Deal challenges. Offers up to EUR 200,000 per project, equity-free, for up to 12 projects. Official FAQ states eligible Horizon Europe associated countries can apply; Serbian SMEs should verify against the latest Horizon Europe associated-country list and the applicant guidelines.","2026-07-08 10:00:00Z","2026-07-08 10:00:00Z"
"ARIA Trust Everything, Everywhere: Opportunity seeds","ARIA","UK ARPA-style frontier R&D","2026-07-27","open",10,"uk, aria, opportunity seed, startup, company, funding, cyber-physical trust, deadline","https://aria.org.uk/funding-opportunities","Open UK ARIA opportunity seed call for cyber-physical trust infrastructure, with funding available up to GBP 500,000 per project. This is a frontier R&D route rather than a standard SME grant; use it if the solution has a high-risk technical angle in software/hardware trust, security, AI assurance or cyber-physical markets. Check ARIA applicant guidance for non-UK team eligibility and UK benefit requirements before applying.","2026-07-08 17:30:00Z","2026-07-08 17:30:00Z"
"LIGAWINE Open Call","OpenCalls.fund / Reframe Food","EU cascade funding","2026-07-31","open",12,"cascade funding, climate resilience, fstp, grant, sme potential, wine sector","https://opencalls.fund/open-call/ligawine","EU-funded FSTP open call for sustainability, climate resilience and competitiveness in the European wine sector. Supports technology providers and wineries through testing, adaptation and validation of low-input, environmentally friendly and digitally enabled innovations. Potentially relevant to Serbian wineries/tech providers; eligibility should be checked in the applicants guide before applying.","2026-07-08 10:00:00Z","2026-07-08 10:00:00Z"
"ARIA Rolling opportunity seeds","ARIA","UK ARPA-style frontier R&D","2026-07-31","open",11,"uk, aria, opportunity seed, safe ai, robotics, manufacturing, funding, startup","https://aria.org.uk/funding-opportunities","Open rolling ARIA opportunity seed route across selected spaces including Mathematics for Safe AI, Scoping Our Planet, Scalable Neural Interfaces, Smarter Robot Bodies and Manufacturing Abundance. Projects can receive up to GBP 500,000 each. Deadline listed for the current rolling seed process is 31 July 2026 before a pause and possible reopening later in the year.","2026-07-08 17:30:00Z","2026-07-08 17:30:00Z"
"ARIA Future Proofing Our Climate and Weather: Opportunity seeds","ARIA","UK ARPA-style frontier R&D","2026-07-31","open",9,"uk, aria, opportunity seed, climate, weather, resilience, funding, deadline","https://aria.org.uk/funding-opportunities","Open ARIA opportunity seed call for early-stage research exploring new pathways for climate adaptation and resilience. Funding is listed up to GBP 500,000 per project. Good fit only if the project is ambitious frontier R&D around climate/weather, resilience, modelling, sensors, geo/environmental systems or related AI.","2026-07-08 17:30:00Z","2026-07-08 17:30:00Z"
"NGI Zero Review - support for existing NGI grantees","NGI / NLnet","EU cascade funding / restricted support","2026-07-31","restricted",7,"ngi, restricted, existing grantees only, open source, security, privacy, accessibility, quality review","https://nlnet.nl/NGI0/review/","Restricted NGI support programme for quality and maturity of digital commons. It is only relevant if the project has already received a grant within the NGI initiative. Services cover security, privacy, accessibility, open-source licensing compliance, standardisation and sustainability of NGI-funded open-source projects.","2026-07-08 16:00:00Z","2026-07-08 16:00:00Z"
"InnoNext call for EIT talents and startups","EIT / EIC InnoNext","EIT talent and startup support","2026-07-31","open",6,"innonext, eit, eic, innovation internship, startup, sme, talent, no financial burden","https://www.eit.europa.eu/our-activities/opportunities/innonext-call","Open EIT/EIC-linked call for fully funded Innovation Internships across Europe. Startups and SMEs can host specialised research talent without financial burden. Eligibility is narrow: startups and SMEs supported by the EIT Community/business-creation services, KIC-supported businesses, KIC innovation partners, or startups/scaleups with at least one EIT Alumni co-founder. Useful if we create an EIT link first.","2026-07-11 07:00:00Z","2026-07-11 07:00:00Z"
"NGI Taler 14th Open Call","NGI / NLnet","EU cascade funding","2026-08-01","open",17,"cascade funding, digital payments, foss, grant, horizon europe, ngi, open source, privacy, sme","https://nlnet.nl/taler/","Horizon Europe / NGI cascade funding for free and open source work around privacy-preserving digital payments and GNU Taler. Open to SMEs, academics, public sector, non-profits, communities and individuals. Project proposals are expected in the EUR 5,000 to EUR 50,000 range, with open-source/open-access outcomes.","2026-07-08 11:00:00Z","2026-07-08 11:00:00Z"
"NGI Fediversity 12th Open Call","NGI / NLnet","EU cascade funding","2026-08-01","open",17,"cascade funding, cloud, fediverse, foss, grant, horizon europe, ngi, open source, sme","https://nlnet.nl/fediversity/","Horizon Europe / NGI cascade funding for free and open source projects that contribute to service portability, self-hosted/cloud services, Fediverse infrastructure and the future hosting stack. Open to SMEs, academics, public sector, non-profits and individuals. Project proposals are expected in the EUR 5,000 to EUR 50,000 range.","2026-07-08 11:00:00Z","2026-07-08 11:00:00Z"
"CfI: Earlier identification of UK children with SEN","Innovate UK","UK state / international-friendly contract route","2026-08-05","open",12,"uk, contracts for innovation, international organisations, sme, education, deadline","https://apply-for-innovation-funding.service.gov.uk/competition/search","Contracts for Innovation route with a GBP 2.5 million shared budget to develop innovations for earlier, fairer and more reliable identification of special educational needs in UK children. The official listing says organisations of any size, including EU, EEA or international organisations, can lead, but contracts are awarded to a single legal entity and the work is UK-context specific.","2026-07-08 17:30:00Z","2026-07-08 17:30:00Z"
